SOURCELONG:Frostburn	SOURCESHORT:Fro	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-09
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Skills	CATEGORY:Special Ability	TYPE:YetiRaceTrait.SpecialQuality	VISIBLE:YES	DESC:*A yeti's white fur gives it a +12 racial bonus on Hide checks in snow.	KEY:Yeti ~ Skills									BONUS:SITUATION|Hide=Icy or snow terrain|12|TYPE=Racial																		SOURCEPAGE:Fro		
																																		
Race Traits ~ Yeti (Abominable)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=YetiAbominableRaceTrait			AUTO:LANG|Giant																												
Constrict	CATEGORY:Special Ability	TYPE:YetiAbominableRaceTrait.SpecialAttack.Extraordinary.Constrict	VISIBLE:YES	DESC:A yeti deals 1d8+9 points of damage with a successful grapple check, plus an extra 2d6 points of cold damage from the heat-absorbing effect of the creature's body.	KEY:Yeti (Abominable) ~ Constrict									BONUS:VAR|ConstrictDice|1	BONUS:VAR|ConstrictDieSize|8|TYPE=Base																	SOURCEPAGE:Fro		
Improved Grab	CATEGORY:Special Ability	TYPE:YetiAbominableRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:To use this ability, a yeti must hit a Medium or smaller creature with a claw attack. If it gets a hold, it can constrict.	KEY:Yeti (Abominable) ~ Improved Grab																											SOURCEPAGE:Fro		
Snowsight	CATEGORY:Special Ability	TYPE:YetiAbominableRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A yeti can see in snow as per the snowsight spell.	KEY:Yeti (Abominable) ~ Snowsight																											SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:YetiAbominableRaceTrait.SpecialQuality	VISIBLE:YES	DESC:*A yeti's white fur gives it a +12 racial bonus on Hide checks in snow.	KEY:Yeti (Abominable) ~ Skills									BONUS:SITUATION|Hide=Icy or snow terrain|12|TYPE=Racial																		SOURCEPAGE:Fro		
																																		
Race Traits ~ Yuki-On-Na	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=YukiOnNaRaceTrait	BONUS:VAR|HasLowLightVision|1|TYPE=Base		AUTO:LANG|Common|Sylvan																												
Lose the Way	CATEGORY:Special Ability	TYPE:YukiOnNaRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day, a yuki-on-na can touch a victim and make him or her completely unable to fi nd his way anywhere for the next 3d6 hours. The yuki-on-na must succeed on a melee touch attack. The affected character cannot use the intuit direction aspect of the Survival skill to avoid becoming lost. The character cannot even fi nd her way out of a closet without assistance, though she is perfectly capable of following other characters.	KEY:Yuki-On-Na ~ Lose the Way																											SOURCEPAGE:Fro		
Paralyzing Glance	CATEGORY:Special Ability	TYPE:YukiOnNaRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:A yuki-on-na can paralyze creatures with a look. This is similar to a gaze attack, except that the yuki-onna must take a standard action, and those merely looking at her are not affected. Anyone the yuki-on-na targets must succeed on a DC %1 Will save or be affected as though by a hold monster spell cast by an 8th-level sorcerer. The ability has a range of 30 feet. The save DC is Charisma-based.|ParalysingGlanceDC	KEY:Yuki-On-Na ~ Paralyzing Glance				DEFINE:ParalysingGlanceDC|0					BONUS:VAR|ParalysingGlanceDC|DefaultDCCha	BONUS:VAR|ParalysingGlanceDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Paralyzing Glance)								ABILITY:Ability Focus|AUTOMATIC|Paralyzing Glance									SOURCEPAGE:Fro		
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:YukiOnNaRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES		KEY:Yuki-On-Na ~ Spell-Like Abilities																		SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=8|Disguise Self|Comprehend Languages|Detect Thoughts,12+CHA									SOURCEPAGE:Fro		
																																		
Race Traits ~ Animal (Caribou)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AnimalCaribouRaceTrait	BONUS:VAR|HasLowLightVision|1|TYPE=Base																														
Scent	CATEGORY:Special Ability	TYPE:AnimalCaribouRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A caribou can detect opponents within 30 feet. The exact location is not revealed unless the creature is within 5 feet.	KEY:Animal (Caribou) ~ Scent																		ABILITY:Special Ability|AUTOMATIC|Scent									SOURCEPAGE:Fro		
																																		
Race Traits ~ Animal (Arctic Fox)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AnimalArcticFoxRaceTrait	BONUS:VAR|HasLowLightVision|1|TYPE=Base																			ABILITY:FEAT|AUTOMATIC|Weapon Finesse											
Scent	CATEGORY:Special Ability	TYPE:AnimalArcticFoxRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An arctic fox can detect opponents within 30 feet. The exact location is not revealed unless the creature is within 5 feet.	KEY:Animal (Arctic Fox) ~ Scent																		ABILITY:Special Ability|AUTOMATIC|Scent									SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:AnimalArcticFoxRaceTrait.SpecialQuality	VISIBLE:YES	DESC:*In areas of snow, ice, or tundra, an arctic fox gains a +8 racial bonus on Hide checks.	KEY:Animal (Arctic Fox) ~ Skills									BONUS:SITUATION|Hide=Icy or snow terrain|8|TYPE=Racial																		SOURCEPAGE:Fro		
																																		
Race Traits ~ Animal (Sea Otter)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AnimalSeaOtterRaceTrait	BONUS:VAR|HasLowLightVision|1|TYPE=Base																			ABILITY:FEAT|AUTOMATIC|Weapon Finesse											
Hold Breath	CATEGORY:Special Ability	TYPE:AnimalSeaOtterRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A sea otter can hold its breath for a number of rounds equal to 6 x its Constitution score before it risks drowning.	KEY:Animal (Sea Otter) ~ Hold Breath																											SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:AnimalSeaOtterRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A sea otter has a +8 racial bonus on any Swim check to perform some special action or avoid a hazard. It can always choose to take 10 on a Swim check, even if distracted or endangered. It can use the run action while swimming, provided it swims in a straight line.	KEY:Animal (Sea Otter) ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial																		SOURCEPAGE:Fro		
																																		
Race Traits ~ Animal (Penguin)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AnimalPenguinRaceTrait	BONUS:VAR|HasLowLightVision|1|TYPE=Base										BONUS:VAR|FractionalHD|2|TYPE=Base									ABILITY:FEAT|AUTOMATIC|Weapon Finesse											
Hold Breath	CATEGORY:Special Ability	TYPE:AnimalPenguinRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A penguin can hold its breath for a number of rounds equal to 6 x its Constitution score before it risks drowning.	KEY:Animal (Penguin) ~ Hold Breath																											SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:AnimalPenguinRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A penguin has a +8 racial bonus on any Swim check to perform some special action or avoid a hazard. It can always choose to take 10 on a Swim check, even if distracted or endangered. It can use the run action while swimming, provided it swims in a straight line.	KEY:Animal (Penguin) ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial																		SOURCEPAGE:Fro		
																																		
Race Traits ~ Animal (Seal)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AnimalSealRaceTrait	BONUS:VAR|HasLowLightVision|1|TYPE=Base																			ABILITY:FEAT|AUTOMATIC|Weapon Finesse											
Hold Breath	CATEGORY:Special Ability	TYPE:AnimalSealRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A seal can hold its breath for a number of rounds equal to 6 x its Constitution score before it risks drowning.	KEY:Animal (Seal) ~ Hold Breath																											SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:AnimalSealRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A seal has a +8 racial bonus on any Swim check to perform some special action or avoid a hazard. It can always choose to take 10 on a Swim check, even if distracted or endangered. It can use the run action while swimming, provided it swims in a straight line.	KEY:Animal (Seal) ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial																		SOURCEPAGE:Fro		
																																		
Race Traits ~ Animal (Walrus)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AnimalWalrusRaceTrait	BONUS:VAR|HasLowLightVision|1|TYPE=Base																														
Hold Breath	CATEGORY:Special Ability	TYPE:AnimalWalrusRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A walrus can hold its breath for a number of rounds equal to 6 x its Constitution score before it risks drowning.	KEY:Animal (Walrus) ~ Hold Breath																											SOURCEPAGE:Fro		
Skills	CATEGORY:Special Ability	TYPE:AnimalWalrusRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A walrus has a +8 racial bonus on any Swim check to perform some special action or avoid a hazard. It can always choose to take 10 on a Swim check, even if distracted or endangered. It can use the run action while swimming, provided it swims in a straight line.	KEY:Animal (Walrus) ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial																		SOURCEPAGE:Fro		
