SOURCELONG:Gozzilioni Monster Manual	SOURCESHORT:MM	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-07																																														
Regeneration	CATEGORY:Special Ability	TYPE:AngelPlanetarRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A planetar takes damage from evil-aligned weapons and from spells and effects with the evil descriptor.	KEY:Angel ~ Planetar ~ Regeneration	ASPECT:NAME|Regeneration %1|RegenerationRate									BONUS:VAR|RegenerationRate|10																	SOURCEPAGE:MM																	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:AngelPlanetarRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Detect Evil, Detect Snares and Pits, Discern Lies, See Invisibility, True Seeing always active.	KEY:Angel ~ Planetar ~ Spell-Like Abilities									BONUS:VAR|HasTrueSeeingVision|1|TYPE=Base	BONUS:VAR|HasSeeInvisibilityVision|1|TYPE=Base								SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=17|Continual Flame|Dispel Magic|Holy Smite,14+CHA|Invisibility (Self Only)|Restoration (Lesser),12+CHA|Remove Curse,13+CHA|Remove Disease,13+CHA|Remove Fear,11+CHA|Speak with Dead,13+CHA	SPELLS:Innate|TIMES=3|CASTERLEVEL=17|Blade Barrier,16+CHA|Flame Strike,15+CHA|Polymorph (Self Only)|Power Word Stun|Raise Dead|Waves of Fatigue	SPELLS:Innate|TIMES=1|CASTERLEVEL=17|Earthquake,18+CHA|Restoration (Greater),17+CHA|Charm Monster (Mass),18+CHA|Waves of Exhaustion							SOURCEPAGE:MM																	
Spells	CATEGORY:Special Ability	TYPE:AngelPlanetarRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Planetars can cast divine spells as 17th-level clerics. A planetar has access to two of the following domains: Air, Destruction, Good, Law, or War (plus any others from its deity). The save DCs are Wisdom-based.	KEY:Angel ~ Planetar ~ Spells									BONUS:ABILITYPOOL|Angel Planetar Domains|2																		SOURCEPAGE:MM																	
Air	CATEGORY:Special Ability	TYPE:PlanetarDomains	VISIBLE:DISPLAY	DESC:Access to Air domain.	KEY:Angel ~ Planetar ~ Spells ~ Air Domain																											SOURCEPAGE:MM																	
Destruction	CATEGORY:Special Ability	TYPE:PlanetarDomains	VISIBLE:DISPLAY	DESC:Access to Destruction domain.	KEY:Angel ~ Planetar ~ Spells ~ Destruction Domain																											SOURCEPAGE:MM																	
Good	CATEGORY:Special Ability	TYPE:PlanetarDomains	VISIBLE:DISPLAY	DESC:Access to Good domain.	KEY:Angel ~ Planetar ~ Spells ~ Good Domain																											SOURCEPAGE:MM																	
Law	CATEGORY:Special Ability	TYPE:PlanetarDomains	VISIBLE:DISPLAY	DESC:Access to Law domain.	KEY:Angel ~ Planetar ~ Spells ~ Law Domain																											SOURCEPAGE:MM																	
War	CATEGORY:Special Ability	TYPE:PlanetarDomains	VISIBLE:DISPLAY	DESC:Access to War domain.	KEY:Angel ~ Planetar ~ Spells ~ War Domain																											SOURCEPAGE:MM																	
																																																	
Race Traits ~ Angel (Solar)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AngelSolarRaceTrait|Flight Maneuverability			AUTO:WEAPONPROF|Greatsword|Longbow								BONUS:VAR|Maneuverability|4|TYPE=Racial																																			
Natural Weapons	CATEGORY:Special Ability	TYPE:AngelSolarRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A solar's natural weapons, as well as any weapons it wields, are treated as good-aligned and epic for the purpose of overcoming damage reduction.	KEY:Angel ~ Solar ~ Natural Weapons																											SOURCEPAGE:MM																	
Regeneration	CATEGORY:Special Ability	TYPE:AngelSolarRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A solar takes normal damage from epic evil-aligned weapons, and from spells or effects with the evil descriptor.	KEY:Angel ~ Solar ~ Regeneration	ASPECT:NAME|Regeneration %1|RegenerationRate									BONUS:VAR|RegenerationRate|15																	SOURCEPAGE:MM																	
Spell-Like Abilities	CATEGORY:Special Ability	TYPE:AngelSolarRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Detect Evil, Detect Snares and Pits, Discern Lies, See Invisibility, True Seeing always active.	KEY:Angel ~ Solar ~ Spell-Like Abilities									BONUS:VAR|HasTrueSeeingVision|1|TYPE=Base	BONUS:VAR|HasSeeInvisibilityVision|1|TYPE=Base								SPELLS:Innate|TIMES=ATWILL|CASTERLEVEL=20|Aid|Animate Objects|Commune|Continual Flame|Dimensional Anchor|Dispel Magic (Greater)|Holy Smite,15+CHA|Imprisonment,20+CHA|Invisibility (Self Only)|Restoration (Lesser),13+CHA|Polymorph (Self Only)|Power Word Stun|Remove Curse,14+CHA|Remove Disease,14+CHA|Remove Fear,12+CHA|Resist Energy|Summon Monster VII|Speak With Dead,14+CHA|Waves of Fatigue	SPELLS:Innate|TIMES=3|CASTERLEVEL=20|Blade Barrier,17+CHA|Earthquake,19+CHA|Heal,17+CHA|Charm Monster (Mass),19+CHA|Permanency|Resurrection|Waves of Exhaustion	SPELLS:Innate|TIMES=1|CASTERLEVEL=20|Restoration (Greater),18+CHA|Power Word Blind|Power Word Kill|Power Word Stun|Prismatic Spray,18+CHA|Wish							SOURCEPAGE:MM																	
Spells	CATEGORY:Special Ability	TYPE:AngelSolarRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Solars can cast divine spells as 20th-level clerics. A solar has access to two of the following domains: Air, Destruction, Good, Law, or War (plus any others from its deity). The save Dcs are Wisdom-based.	KEY:Angel ~ Solar ~ Spells									BONUS:ABILITYPOOL|Angel Solar Domains|2																		SOURCEPAGE:MM																	
Air	CATEGORY:Special Ability	TYPE:SolarDomains	VISIBLE:DISPLAY	DESC:Access to Air domain.	KEY:Angel ~ Solar ~ Spells ~ Air Domain																											SOURCEPAGE:MM																	
Destruction	CATEGORY:Special Ability	TYPE:SolarDomains	VISIBLE:DISPLAY	DESC:Access to Destruction domain.	KEY:Angel ~ Solar ~ Spells ~ Destruction Domain																											SOURCEPAGE:MM																	
Good	CATEGORY:Special Ability	TYPE:SolarDomains	VISIBLE:DISPLAY	DESC:Access to Good domain.	KEY:Angel ~ Solar ~ Spells ~ Good Domain																											SOURCEPAGE:MM																	
Law	CATEGORY:Special Ability	TYPE:SolarDomains	VISIBLE:DISPLAY	DESC:Access to Law domain.	KEY:Angel ~ Solar ~ Spells ~ Law Domain																											SOURCEPAGE:MM																	
War	CATEGORY:Special Ability	TYPE:SolarDomains	VISIBLE:DISPLAY	DESC:Access to War domain.	KEY:Angel ~ Solar ~ Spells ~ War Domain																											SOURCEPAGE:MM																	
																																																	
Race Traits ~ Animated Object (Tiny)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=NoRaceTrait											BONUS:VAR|FractionalHD|1																																			
Race Traits ~ Animated Object (Small)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=NoRaceTrait																																														
Race Traits ~ Animated Object (Medium)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=NoRaceTrait																																														
Race Traits ~ Animated Object (Large)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=NoRaceTrait											BONUS:VAR|RaceSizeIsLong|1																																			
Race Traits ~ Animated Object (Huge)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=NoRaceTrait											BONUS:VAR|RaceSizeIsLong|1																																			
Race Traits ~ Animated Object (Large)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=NoRaceTrait											BONUS:VAR|RaceSizeIsLong|1																																			
Race Traits ~ Animated Object (Gargantuan)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=NoRaceTrait											BONUS:VAR|RaceSizeIsLong|1																																			
Race Traits ~ Animated Object (Colossal)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=NoRaceTrait											BONUS:VAR|RaceSizeIsLong|1																																			
Animated Object	CATEGORY:Internal	TYPE:AnimatedObjectRaceTrait.AnimatedObjectSelection	VISIBLE:DISPLAY																																														
Blind	CATEGORY:Special Ability	TYPE:AnimatedObjectRaceTrait.AnimatedObjectSelection.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A sheetlike animated object such as a carpet or tapestry can grapple an opponent up to three sizes larger than itself. The object makes a normal grapple check. If it wins, it wraps itself around the opponent's head, causing that creature to be blinded until removed.	KEY:Animated Object ~ Blind																										COST:0	SOURCEPAGE:MM																	
Constrict	CATEGORY:Special Ability	TYPE:AnimatedObjectRaceTrait.AnimatedObjectSelection.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A flexible animated object such as a rope, vine, or rug deals damage equal to its slam damage value plus 1-1/2 times its Strength bonus with a successful grapple check against a creature up to one size larger than itself. An object of at least Large size can make constriction attacks against multiple creatures at once, if they all are at least two sizes smaller than the object and can fit under it.	KEY:Animated Object ~ Constrict																										COST:0	SOURCEPAGE:MM																	
Hardness	CATEGORY:Special Ability	TYPE:AnimatedObjectRaceTrait.AnimatedObjectSelection.SpecialQuaity.Extraordinary	VISIBLE:YES	DESC:An animated object has the same hardness it had before it was animated (see Table 9-9 and Table 9-11, page 166 of the PHB for the hardness of some common substances and Objects).	KEY:Animated Object ~ Hardness																										COST:0	SOURCEPAGE:MM																	
Improved Speed	CATEGORY:Special Ability	TYPE:AnimatedObjectRaceTrait.AnimatedObjectSelection.SpecialQuaity.Extraordinary	VISIBLE:YES	DESC:The base land speed given in the statistics block assume that an animated object lurches, rocks, or slithers along. Objects with two legs (statues, ladders) or a similar shape that allows faster movement have a +10 foot bonus to speed. Objects with multiple legs (tables, chairs) have a +20 foot bonus to speed. Wheeled objects have a +40 foot bonus to speed. Objects might have additional modes of movement. A wooden object can float and has a swim speed equal to half its land speed. A rope or similar sinuous object has a climb speed equal to half its land speed. A sheetlike object can fly (clumsy maneuverability) at half its normal speed.	KEY:Animated Object ~ Improved Speed																										COST:0	SOURCEPAGE:MM																	
Trample	CATEGORY:Special Ability	TYPE:AnimatedObjectRaceTrait.AnimatedObjectSelection.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:An animated object of at least Large size and with a hardness of at least 10 can trample creatures two or more sizes smaller than itself, dealing damage equal to the object's slam damage + 1-1/2 times its Strength bonus. Opponents who do not make attacks of opportunity against the object can attempt Reflex saves (DC %1) to halve the damage.|TrampleDC	KEY:Animated Object ~ Trample			PRESIZEGTEQ:L	DEFINE:TrampleDC|0					BONUS:VAR|TrampleDC|DefaultDCStr	BONUS:VAR|TrampleDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Trample)																COST:0	SOURCEPAGE:MM																	
																																																	
Race Traits ~ Ankheg	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AnkhegRaceTrait																																														
Improved Grab	CATEGORY:Special Ability	TYPE:AnkhegRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:To use this ability, an ankheg must hit with its bite attack. It can then attempt to start a grapple as a free action without provoking an attack of opportunity. If the ankheg is damaged after grabbing its prey, it retreats backward down its tunnel at its land speed (not its burrow speed), dragging the victim with it.	KEY:Ankheg ~ Improved Grab																											SOURCEPAGE:MM																	
Spit Acid	CATEGORY:Special Ability	TYPE:AnkhegRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:30-ft. line, once every 6 hours; damage 4d4 acid, Reflex DC %1 half. One such attack depletes the ankheg's acid supply for 6 hours. It cannot spit acid or deal acid damage during this time. The save DC is Constitution-based. An ankheg does not use this ability unless it is desperate or frustrated. It most often spits acid when reduced to fewer than half its full normal hit points or when it has not successfully grabbed an opponent.|SpitAcidDC	KEY:Ankheg ~ Spit Acid				DEFINE:SpitAcidDC|0					BONUS:VAR|SpitAcidDC|DefaultDCCon	BONUS:VAR|SpitAcidDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Spit Acid)								ABILITY:Ability Focus|AUTOMATIC|Spit Acid									SOURCEPAGE:MM																	
																																																	
Race Traits ~ Aranea	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AraneaRaceTrait	AUTO:LANG|Common|Sylvan																			ABILITY:FEAT|AUTOMATIC|Iron Will																										
Poison	CATEGORY:Special Ability	TYPE:AraneaRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d6 STR, secondary damage 2d6 Str.|PoisonDC	KEY:Aranea ~ Poison									BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:MM																	
Spells	CATEGORY:Special Ability	TYPE:AraneaRaceTrait.SpecialAttack	VISIBLE:YES	DESC:An aranea casts spells as a 3rd-level sorcerer. It prefers illusions and enchantments and avoids fire spells.	KEY:Aranea ~ Spells																											SOURCEPAGE:MM																	
Web	CATEGORY:Special Ability	TYPE:AraneaRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:In spider or hybrid form (see below), an aranea can throw a web up to six times per day. This is similar to an attack with a net but has a maximum range of 50 feet, with a range increment of 10 feet, and is effective against targets of up to Large size. The web anchors the target in place, allowing no movement. An entangled creature can escape with a DC %1 Escape Artist check or burst the web with a DC %2 Strength check. The check DCs are Constitution-based, and the Strength check DC includes a +4 racial bonus. The web has 6 hit points, hardness 0, and takes double damage from fire.|WebEscapeArtisDC|WebBurstDC	KEY:Aranea ~ Web				DEFINE:WebEscapeArtisDC|0	DEFINE:WebBurstDC|0				BONUS:VAR|WebEscapeArtisDC|DefaultDCCon	BONUS:VAR|WebBurstDC|DefaultDCStr	BONUS:VAR|WebBurstDC|4|TYPE=Racial																SOURCEPAGE:MM																	
Change Shape	CATEGORY:Special Ability	TYPE:AraneaRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:An aranea's natural form is that of a Medium monstrous spider. It can assume two other forms. The first is a unique Small or Medium humanoid; an aranea in its humanoid form always assumes the same appearance and traits, much as a lycanthrope would. In humanoid form, an aranea cannot use its bite attack, webs, or poison. The second form is a Medium spider-humanoid hybrid. In hybrid form, an aranea looks like a Medium humanoid at first glance, but a DC 18 Spot check reveals the creature's fangs and spinnerets. The aranea retains its bite attack, webs, and poison in this form, and can also wield weapons or wear armor. When in hybrid form, an aranea's speed is 30 feet (6 squares). An aranea remains in one form until it chooses to assume a new one. A change in form cannot be dispelled, nor does an aranea revert to its natural form when killed. A True Seeing spell, however, reveals its natural form if it is in humanoid or hybrid form.	KEY:Aranea ~ Change Shape																											SOURCEPAGE:MM																	
Skills	CATEGORY:Special Ability	TYPE:AraneaRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Araneas have a +2 racial bonus on Jump, Listen, and Spot checks. They have a +8 racial bonus on Climb checks and can always choose to take 10 on Climb checks even if rushed or Threatened.	KEY:Aranea ~ Skills									BONUS:SKILL|Jump,Listen,Spot|2|TYPE=Racial	BONUS:SKILL|Climb|8|TYPE=Racial																	SOURCEPAGE:MM																	
																																																	
Race Traits ~ Archon (Lantern)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=ArchonLanternRaceTrait|Flight Maneuverability											BONUS:VAR|Maneuverability|5|TYPE=Racial																																			
Light Ray	CATEGORY:Special Ability	TYPE:ArchonLanternRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Lantern archon's light rays have a range of 30 feet. This attack overcomes damage reduction of any type.	KEY:Archon ~ Lantern ~ Light Ray																											SOURCEPAGE:MM																	
