SOURCELONG:Player's Handbook	SOURCESHORT:PHB	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2014-08																																			
																																						
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										SOURCEPAGE:						
CATEGORY=Special Ability|Bard ~ Spellcasting.MOD	DEFINE:BardCast7|0	DEFINE:BardKnown7|0												BONUS:VAR|BardCast7|SpellSlotsLVL7																								
CATEGORY=Special Ability|Bard ~ Spellcasting.MOD	DEFINE:BardCast8|0	DEFINE:BardKnown8|0												BONUS:VAR|BardCast8|SpellSlotsLVL8																								
CATEGORY=Special Ability|Bard ~ Spellcasting.MOD	DEFINE:BardCast9|0	DEFINE:BardKnown9|0												BONUS:VAR|BardCast9|SpellSlotsLVL9																								
																																						
CATEGORY=Special Ability|Bard ~ Spellcasting.MOD	BONUS:ABILITYPOOL|Bard Known Progression Selection|1																																					
###Block: Choose Bard Known Progression																																						
Grant Highest Known only	CATEGORY:Internal	TYPE:Bard Known Progression		DESC:This will manipulate your spells known to increase to the max highest allowed by the rules.	KEY:Bard Known Progression ~ Grant Highest Known only																											SOURCEPAGE:PHB						
Follow Standard Progression	CATEGORY:Internal	TYPE:Bard Known Progression		DESC:This will follow the progression chart in the Player's Handbook.	KEY:Bard Known Progression ~ Follow Standard Progression																											SOURCEPAGE:PHB						
Choose Own Progression	CATEGORY:Internal	TYPE:Bard Known Progression		DESC:This will force the user to select spells each level.	KEY:Bard Known Progression ~ Choose Own Progression									BONUS:ABILITYPOOL|Bard Known|4+(BardLVL>=2)+(BardLVL>=3)+(BardLVL>=4)+(BardLVL>=5)+(BardLVL>=6)+(BardLVL>=7)+(BardLVL>=8)+(BardLVL>=9)+if(BardLVL>=10,2,0)+(BardLVL>=11)+(BardLVL>=13)+if(BardLVL>=14,2,0)+(BardLVL>=15)+(BardLVL>=17)+if(BardLVL>=18,2,0)																		SOURCEPAGE:PHB						
																																						
# Grant Highest Known																																						
CATEGORY=Internal|Bard Known Progression ~ Grant Highest Known only.MOD	BONUS:VAR|BardKnown1|if(BardLVL>=1,2,0)+(BardLVL>=2)-(BardLVL>=3)-(BardLVL>=4)																																					
CATEGORY=Internal|Bard Known Progression ~ Grant Highest Known only.MOD	BONUS:VAR|BardKnown2|if(BardLVL>=3,2,0)+if(BardLVL>=4,2,0)-(BardLVL>=6)-(BardLVL>=7)-(BardLVL>=8)-(BardLVL>=9)																																					
CATEGORY=Internal|Bard Known Progression ~ Grant Highest Known only.MOD	BONUS:VAR|BardKnown3|if(BardLVL>=5,2,0)+if(BardLVL>=6,2,0)-(BardLVL>=10)-(BardLVL>=11)-(BardLVL>=12)-(BardLVL>=13)																																					
CATEGORY=Internal|Bard Known Progression ~ Grant Highest Known only.MOD	BONUS:VAR|BardKnown4|if(BardLVL>=7,2,0)+if(BardLVL>=8,2,0)-(BardLVL>=14)-(BardLVL>=15)-(BardLVL>=16)-(BardLVL>=17)																																					
CATEGORY=Internal|Bard Known Progression ~ Grant Highest Known only.MOD	BONUS:VAR|BardKnown5|if(BardLVL>=9,2,0)+(BardLVL>=12)																																					
CATEGORY=Internal|Bard Known Progression ~ Grant Highest Known only.MOD	BONUS:VAR|BardKnown6|if(BardLVL>=11,2,0)+(BardLVL>=12)																																					
CATEGORY=Internal|Bard Known Progression ~ Grant Highest Known only.MOD	BONUS:VAR|BardKnown7|if(BardLVL>=13,2,0)+(BardLVL>=14)																																					
CATEGORY=Internal|Bard Known Progression ~ Grant Highest Known only.MOD	BONUS:VAR|BardKnown8|if(BardLVL>=15,2,0)+(BardLVL>=16)																																					
CATEGORY=Internal|Bard Known Progression ~ Grant Highest Known only.MOD	BONUS:VAR|BardKnown9|if(BardLVL>=17,2,0)+(BardLVL>=18)+(BardLVL>=19)+(BardLVL>=20)																																					
																																						
# Follow Standard Progression																																						
CATEGORY=Internal|Bard Known Progression ~ Follow Standard Progression.MOD	BONUS:VAR|BardKnown1|if(BardLVL>=1,2,0)+(BardLVL>=2)+(BardLVL>=3)																																					
CATEGORY=Internal|Bard Known Progression ~ Follow Standard Progression.MOD	BONUS:VAR|BardKnown2|if(BardLVL>=3,2,0)+(BardLVL>=4)																																					
CATEGORY=Internal|Bard Known Progression ~ Follow Standard Progression.MOD	BONUS:VAR|BardKnown3|if(BardLVL>=5,2,0)+(BardLVL>=6)																																					
CATEGORY=Internal|Bard Known Progression ~ Follow Standard Progression.MOD	BONUS:VAR|BardKnown4|(BardLVL>=7)+(BardLVL>=8)+(BardLVL>=9)																																					
CATEGORY=Internal|Bard Known Progression ~ Follow Standard Progression.MOD	BONUS:VAR|BardKnown5|(BardLVL>=9)+(BardLVL>=10)+(BardLVL>=18)																																					
CATEGORY=Internal|Bard Known Progression ~ Follow Standard Progression.MOD	BONUS:VAR|BardKnown6|(BardLVL>=11)+(BardLVL>=19)																																					
CATEGORY=Internal|Bard Known Progression ~ Follow Standard Progression.MOD	BONUS:VAR|BardKnown7|(BardLVL>=13)+(BardLVL>=20)																																					
CATEGORY=Internal|Bard Known Progression ~ Follow Standard Progression.MOD	BONUS:VAR|BardKnown8|(BardLVL>=15)																																					
CATEGORY=Internal|Bard Known Progression ~ Follow Standard Progression.MOD	BONUS:VAR|BardKnown9|(BardLVL>=17)																																					
																																						
# Choose Own Progression																																						
Bard Known Level 1	CATEGORY:Internal	TYPE:Bard Known			PREVARGTEQ:BardLVL,1									BONUS:VAR|BardKnown1|1					CHOOSE:NOCHOICE	MULT:YES	STACK:YES											SOURCEPAGE:PHB						
Bard Known Level 2	CATEGORY:Internal	TYPE:Bard Known			PREVARGTEQ:BardLVL,3									BONUS:VAR|BardKnown2|1					CHOOSE:NOCHOICE	MULT:YES	STACK:YES											SOURCEPAGE:PHB						
Bard Known Level 3	CATEGORY:Internal	TYPE:Bard Known			PREVARGTEQ:BardLVL,5									BONUS:VAR|BardKnown3|1					CHOOSE:NOCHOICE	MULT:YES	STACK:YES											SOURCEPAGE:PHB						
Bard Known Level 4	CATEGORY:Internal	TYPE:Bard Known			PREVARGTEQ:BardLVL,7									BONUS:VAR|BardKnown4|1					CHOOSE:NOCHOICE	MULT:YES	STACK:YES											SOURCEPAGE:PHB						
Bard Known Level 5	CATEGORY:Internal	TYPE:Bard Known			PREVARGTEQ:BardLVL,9									BONUS:VAR|BardKnown5|1					CHOOSE:NOCHOICE	MULT:YES	STACK:YES											SOURCEPAGE:PHB						
Bard Known Level 6	CATEGORY:Internal	TYPE:Bard Known			PREVARGTEQ:BardLVL,11									BONUS:VAR|BardKnown6|1					CHOOSE:NOCHOICE	MULT:YES	STACK:YES											SOURCEPAGE:PHB						
Bard Known Level 7	CATEGORY:Internal	TYPE:Bard Known			PREVARGTEQ:BardLVL,13									BONUS:VAR|BardKnown7|1					CHOOSE:NOCHOICE	MULT:YES	STACK:YES											SOURCEPAGE:PHB						
Bard Known Level 8	CATEGORY:Internal	TYPE:Bard Known			PREVARGTEQ:BardLVL,15									BONUS:VAR|BardKnown8|1					CHOOSE:NOCHOICE	MULT:YES	STACK:YES											SOURCEPAGE:PHB						
Bard Known Level 9	CATEGORY:Internal	TYPE:Bard Known			PREVARGTEQ:BardLVL,17									BONUS:VAR|BardKnown9|1					CHOOSE:NOCHOICE	MULT:YES	STACK:YES											SOURCEPAGE:PHB						
																																						
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_Athletics|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,Athletics																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_Acrobatics|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,Acrobatics																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_Sleight_of_Hand|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,Sleight of Hand																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_Stealth|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,Stealth																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_Arcana|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,Arcana																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_History|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,History																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_Investigation|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,Investigation																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_Nature|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,Nature																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_Religion|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,Religion																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_Animal_Handling|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,Animal Handling																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_Insight|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,Insight																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_Medicine|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,Medicine																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_Perception|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,Perception																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_Survival|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,Survival																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_Deception|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,Deception																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_Intimidation|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,Intimidation																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_Performance|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,Performance																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:VAR|SKILL_Persuasion|Proficiency_Bonus/2|TYPE=MISC|!PREABILITY:1,CATEGORY=Skill,Persuasion																								
CATEGORY=Special Ability|Bard ~ Jack of All Trades.MOD														BONUS:COMBAT|INITIATIVE|Proficiency_Bonus/2																								
																																						
# Bard Cantrips																																						
Blade Ward	CATEGORY:Internal	TYPE:Bard Cantrip		DESC:You extend your hand and trace a sigil of warding in the air. Until the end of your next turn, you have resistance against bludgeoning, piercing, and slashing damage dealt by weapon attacks.	KEY:Bard Cantrip ~ Blade Ward																		SPELLS:Bard Cantrip|TIMES=ATWILL|CASTERLEVEL=1|Blade Ward,BardSpellDC	SPELLKNOWN:CLASS|Bard=0|Blade Ward								SOURCEPAGE:PHB						
Dancing Lights	CATEGORY:Internal	TYPE:Bard Cantrip		DESC:You create up to four torch-sized lights within range, making them appear as torches, lanterns, or glowing orbs that hover in the air for the duration. You can also combine the four lights into one glowing vaguely humanoid form of Medium size. Whichever form you choose, each light sheds dim light in a 10-foot radius. As a bonus action on your turn, you can move the lights up to 60 feet to a new spot within range. A light must be within 20 feet of another light created by this spell, and a light winks out if it exceeds the spell's range.	KEY:Bard Cantrip ~ Dancing Lights																		SPELLS:Bard Cantrip|TIMES=ATWILL|CASTERLEVEL=1|Dancing Lights,BardSpellDC	SPELLKNOWN:CLASS|Bard=0|Dancing Lights								SOURCEPAGE:PHB						
Friends	CATEGORY:Internal	TYPE:Bard Cantrip		DESC:For the duration, you have advantage on all Charisma checks directed at one creature of your choice that isn't hostile toward you. When the spell ends, the creature realizes that you used magic to influence its mood and becomes hostile toward you. A creature prone to violence might attack you. Another creature might seek retribution in other ways (at the DM's discretion), depending on the nature of your interaction with it.	KEY:Bard Cantrip ~ Friends																		SPELLS:Bard Cantrip|TIMES=ATWILL|CASTERLEVEL=1|Friends,BardSpellDC	SPELLKNOWN:CLASS|Bard=0|Friends								SOURCEPAGE:PHB						
Light	CATEGORY:Internal	TYPE:Bard Cantrip		DESC:You touch one object that is no larger than 10 feet in any dimension. Until the spell ends, the object sheds bright light in a 20-foot radius and dim light for an additional 20 feet. The light can be colored as you like. Completely covering the object with something opaque blocks the light. The spell ends if you cast it again or dismiss it as an action. If you target an object held or worn by a hostile creature, that creature must succeed on a Dexterity saving throw to avoid the spell.	KEY:Bard Cantrip ~ Light																		SPELLS:Bard Cantrip|TIMES=ATWILL|CASTERLEVEL=1|Light,BardSpellDC	SPELLKNOWN:CLASS|Bard=0|Light								SOURCEPAGE:PHB						
Mage Hand	CATEGORY:Internal	TYPE:Bard Cantrip		DESC:A spectral, floating hand appears at a point you choose within range. The hand lasts for the duration or until you dismiss it as an action. The hand vanishes if it is ever more than 30 feet away from you or if you cast this spell again. You can use your action to control the hand. You can use the hand to manipulate an object, open an unlocked door or container, stow or retrieve an item from an open container, or pour the contents out of a vial. You can move the hand up to 30 feet each time you use it. The hand can't attack, activate magic items, or carry more than 10 pounds.	KEY:Bard Cantrip ~ Mage Hand																		SPELLS:Bard Cantrip|TIMES=ATWILL|CASTERLEVEL=1|Mage Hand,BardSpellDC	SPELLKNOWN:CLASS|Bard=0|Mage Hand								SOURCEPAGE:PHB						
Mending	CATEGORY:Internal	TYPE:Bard Cantrip		DESC:This spell repairs a single break or tear in an object you touch, such as a broken chain link, two halves of a broken key, a torn cloak, or a leaking wineskin. As long as the break or tear is no larger than 1 foot in any dimension, you mend it. leaving no trace of the former damage. This spell can physically repair a magic item or construct, but the spell can't restore magic to such an object.	KEY:Bard Cantrip ~ Mending																		SPELLS:Bard Cantrip|TIMES=ATWILL|CASTERLEVEL=1|Mending,BardSpellDC	SPELLKNOWN:CLASS|Bard=0|Mending								SOURCEPAGE:PHB						
Message	CATEGORY:Internal	TYPE:Bard Cantrip		DESC:You point your finger toward a creature within range and whisper a message. The target (and only the target) hears the message and can reply in a whisper that only you can hear. You can cast this spell through solid objects if you are familiar with the target and know it is beyond the barrier. Magical silence. 1 foot of stone, 1 inch of common metal, a thin sheet of lead, or 3 feet of wood blocks the spell. The spell doesn't have to follow a straight line and can travel freely around corners or through openings.	KEY:Bard Cantrip ~ Message																		SPELLS:Bard Cantrip|TIMES=ATWILL|CASTERLEVEL=1|Message,BardSpellDC	SPELLKNOWN:CLASS|Bard=0|Message								SOURCEPAGE:PHB						
