SOURCELONG:Fiend Folio	SOURCESHORT:FF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2003-04																														
																																	
# Ability Name	CATEGORY:	TYPE:	VISIBLE:	DESC:					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page	
Improved Grab	CATEGORY:Special Ability	TYPE:GhoulAbyssalRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:If an abyssal ghoul hits an opponent its own size or smaller with both front claws, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity (grapple bonus +15). If it gets a hold, it can attempt to pin and use its Wisdom drain ability on its next grapple check. Alternatively, the abyssal ghoul has the option to conduct the grapple normally, or simply use its front claws to hold the opponent (-20 penalty on grapple check, but the ghoul is not considered grappled). In either case, each successful grapple check it makes during successive rounds automatically deals damage from both front claws.	KEY:Ghoul (Abyssal) ~ Improved Grab																											SOURCEPAGE:FF	
Sneak Attack	CATEGORY:Special Ability	TYPE:GhoulAbyssalRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:Anytime an abyssal ghoul's target is denied a Dexterity bonus, or when a target is flanked by an abyssal ghoul, the ghoul deals an additional 5d6 points of damage on a successful melee attack.	KEY:Ghoul (Abyssal) ~ Sneak Attack									BONUS:VAR|SneakAttackDice|5									ABILITY:Special Ability|AUTOMATIC|Sneak Attack									SOURCEPAGE:FF	
Wisdom Drain	CATEGORY:Special Ability	TYPE:GhoulAbyssalRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:If an abyssal ghoul successfully pins a living opponent, it can drain 1d6 points of Wisdom with its smoky tongue on the same action. Each round thereafter that the pin is maintained, the ghoul automatically drains an additional 1d6 points of Wisdom. A creature reduced to 0 Wisdom by an abyssal ghoul becomes unconscious until at least 1 point of Wisdom is restored.	KEY:Ghoul (Abyssal) ~ Wisdom Drain																											SOURCEPAGE:FF	
Blindsight	CATEGORY:Special Ability	TYPE:GhoulAbyssalRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:An abyssal ghoul is blind, but it maneuvers and fights as well as a sighted creature by using scent and vibration to ascertain its surroundings. This ability enables it to discern objects and creatures within 90 feet. An abyssal ghoul usually does not need to make Spot or Listen checks to notice creatures within range of its blindsight.	KEY:Ghoul (Abyssal) ~ Blindsight									BONUS:VAR|BlindsightRange|90|TYPE=Base																		SOURCEPAGE:FF	
Deathwatch	CATEGORY:Special Ability	TYPE:GhoulAbyssalRaceTrait.SpecialQuality.SpellLike	VISIBLE:YES	DESC:This ability functions like the deathwatch spell, except that it is always active and an abyssal ghoul always knows how near death all creatures within 90 feet of it are. Because of this knowledge, it often pauses to kill creatures near death (those with 3 or fewer hit points remaining) before moving on to attack healthier foes.	KEY:Ghoul (Abyssal) ~ Deathwatch																											SOURCEPAGE:FF	
Uncanny Dodge	CATEGORY:Special Ability	TYPE:GhoulAbyssalRaceTrait.SpecialQuality.Extraordinary.Uncanny Dodge	VISIBLE:YES	DESC:An abyssal ghoul retains its Dexterity bonus to Armor Class even when flat-footed or struck by an invisible attacker. In addition, it cannot be flanked except by a rogue of 20th level or higher.|UncannyDodgeFlankingLevel	KEY:Ghoul (Abyssal) ~ Uncanny Dodge									BONUS:VAR|UncannyDodgeTracker|1	BONUS:VAR|UncannyDodgeFlankingLevel|20																	SOURCEPAGE:FF	
																																	
Race Traits ~ Ahuizotl	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=AhuizotlRaceTrait	AUTO:LANG|Common																													
Blinding Strike	CATEGORY:Special Ability	TYPE:AhuizotlRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If an ahuizotl scores a successful critical hit with its tail hand or its bite, the victim becomes blinded permanently.	KEY:Ahuizotl ~ Blinding Strike																											SOURCEPAGE:FF	
Drowning	CATEGORY:Special Ability	TYPE:AhuizotlRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:If an ahuizotl pins a grappled victim while in water of any depth, the ahuizotl holds its victim underwater. The victim can hold its breath for a number of rounds equal to twice its Constitution score. When this time limit is reached, it must make a Constitution check (DC 10) each round to continue holding its breath; each round the DC increases by 1. When the victim fails one of these Constitution checks, it begins to drown. In the first round, it falls unconscious (0 hp). In the following round, it drops to -1 hit points and is dying. In the third round, it drowns.	KEY:Ahuizotl ~ Drowning																											SOURCEPAGE:FF	
Improved Grab	CATEGORY:Special Ability	TYPE:AhuizotlRaceTrait.SpecialAttack.Extraordinary.Improved Grab	VISIBLE:YES	DESC:If an ahuizotl hits an opponent that is at least one size category smaller than itself with its tail hand attack, it deals normal damage and attempts to start a grapple as a free action without provoking an attack of opportunity (grapple bonus +14). It can immediately attempt to drown its victim if it is in water. Thereafter, the ahuizotl has the option to conduct the grapple normally, or it can simply use its tail hand to hold the opponent (-20 penalty on grapple check, but the ahuizotl is not considered grappled). In either case, each successful grapple check it makes during successive rounds automatically deals tail hand damage.	KEY:Ahuizotl ~ Improved Grab																											SOURCEPAGE:FF	
Voice Mimicry	CATEGORY:Special Ability	TYPE:AhuizotlRaceTrait.SpecialQuality.Supernatural	VISIBLE:YES	DESC:An ahuizotl can mimic spoken voices with unnatural ease. With a successful Bluff check, it can mimic a specific person's voice perfectly.	KEY:Ahuizotl ~ Voice Mimicry																											SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:AhuizotlRaceTrait.SpecialQuality	VISIBLE:YES	DESC:Ahuizotls have a +8 racial bonus on any Swim check to perform some special action or avoid a hazard and can always choose to take 10 on Swim checks, even if distracted or endangered.	KEY:Ahuizotl ~ Skills									BONUS:SITUATION|Swim=Perform some special action or avoid a hazard|8|TYPE=Racial																		SOURCEPAGE:FF	
																																	
Race Traits ~ Aoa (Droplet)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Aoa Subtraits|TYPE=AoaDropletRaceTrait											BONUS:VAR|Maneuverability|5|TYPE=Base																			
Dispelling Touch	CATEGORY:Special Ability	TYPE:AoaDropletRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:If a droplet successfully damages an opponent with its slam attack, the opponent is also affected by dispel magic as if cast by a 7th-level wizard.	KEY:Aoa (Droplet) ~ Dispelling Touch									BONUS:VAR|DispellingTouchLVL|7|TYPE=Base																		SOURCEPAGE:FF	
																																	
Race Traits ~ Aoa (Sphere)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Aoa Subtraits|TYPE=AoaDropletRaceTrait											BONUS:VAR|Maneuverability|5|TYPE=Base																			
Dispelling Touch	CATEGORY:Special Ability	TYPE:AoaSphereRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:If a sphere successfully damages an opponent with its slam attack, the opponent is also affected by dispel magic as if cast by a 15th-level wizard.	KEY:Aoa (Sphere) ~ Dispelling Touch									BONUS:VAR|DispellingTouchLVL|15|TYPE=Base																		SOURCEPAGE:FF	
Reflective Pulse	CATEGORY:Special Ability	TYPE:AoaSphereRaceTrait.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Three times per day, an aoa can release a pulse that reflects magical energy back onto itself, creating harmonics that can destroy magical auras and shatter magic items. This effect is similar to a greater dispelling spell as if cast by a 15th-level wizard. Magic items that have all their abilities dispelled in this way are destroyed.	KEY:Aoa (Sphere) ~ Reflective Pulse																		SPELLS:Innate|TIMES=3|CASTERLEVEL=15|Dispel Magic (Greater)									SOURCEPAGE:FF	
Split	CATEGORY:Special Ability	TYPE:AoaSphereRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:If an aoa sphere reflects 50 points or more of damage through targeted spells in a single attack, it splits off a small blob of matter, creating a new, smaller aoa called a droplet (described above).	KEY:Aoa (Sphere) ~ Split																											SOURCEPAGE:FF	
																																	
Race Traits ~ Ooze (Bloodbloater)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Ooze Subtraits|Ooze Aquatic Subtraits|TYPE=OozeBloodbloaterRaceTrait|Vulnerability to Fire																														
Blood Drain	CATEGORY:Special Ability	TYPE:OozeBloodbloaterRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:On each round that a bloodbloater swarm deals at least 1 point of damage to a victim, it also drains blood and causes 1 point of Strength damage.	KEY:Ooze (Bloodbloater) ~ Blood Drain																											SOURCEPAGE:FF	
Amphibious	CATEGORY:Special Ability	TYPE:OozeBloodbloaterRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Although Bloodbloater are aquatic, they can survive indefinitely on land.	KEY:Ooze (Bloodbloater) ~ Amphibious																											SOURCEPAGE:FF	
																																	
Race Traits ~ Ooze (Flotsam)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Ooze Subtraits|Ooze Aquatic Subtraits|TYPE=OozeFlotsamRaceTrait																														
Adhesive	CATEGORY:Special Ability	TYPE:OozeFlotsamRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A flotsam ooze exudes a sticky slime that holds fast any creature or item touching it. It automatically grapples any creature it hits with its slam attack. Opponents so grappled cannot get free while the ooze is alive. The ooze makes one additional slam attack each round against any creature stuck to it. A weapon that strikes a flotsam ooze sticks fast unless the wielder makes a Reflex save (DC %1). A successful Strength check (DC 16) is needed to pry it off. The adhesive can be weakened by soap or lye, but even in such a case the ooze gets a +4 bonus on grapple checks (for a total bonus of +7). The substance breaks down 5 rounds after the ooze dies.|AdhesiveDC	KEY:Ooze (Flotsam) ~ Adhesive				DEFINE:AdhesiveDC|0					BONUS:VAR|AdhesiveDC|DefaultDCCon	BONUS:VAR|AdhesiveDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Adhesive)								ABILITY:Ability Focus|AUTOMATIC|Adhesive									SOURCEPAGE:FF	
Transparent	CATEGORY:Special Ability	TYPE:OozeFlotsamRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A flotsam ooze is transparent in water, and it gains the benefit of nine-tenths concealment (40%% miss chance) when it is in water.	KEY:Ooze (Flotsam) ~ Transparent																											SOURCEPAGE:FF	
Skills	CATEGORY:Special Ability	TYPE:OozeFlotsamRaceTrait.SpecialQuality	VISIBLE:YES	DESC:A flotsam ooze's transparency gives it a +8 racial bonus on Hide checks.	KEY:Ooze (Flotsam) ~ Skills									BONUS:SKILL|Hide|8|TYPE=Racial																		SOURCEPAGE:FF	
Amphibious	CATEGORY:Special Ability	TYPE:OozeFlotsamRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Although Flotsam are aquatic, they can survive indefinitely on land.	KEY:Ooze (Flotsam) ~ Amphibious																											SOURCEPAGE:FF	
																																	
Race Traits ~ Ooze (Reekmurk)	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|Ooze Subtraits|Ooze Aquatic Subtraits|TYPE=OozeReekmurkRaceTrait|Immunity to Cold																														
Acid	CATEGORY:Special Ability	TYPE:OozeReekmurkRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A reekmurk secretes a potent acid that dissolves organic matter. Any hit by a tentacle deals 1d6 additional points of acid damage. If the object hit is wood, it takes 30 points of damage per round. A wooden weapon that strikes a reekmurk dissolves immediately unless it succeeds on a Reflex save (DC %1).|AcidDC	KEY:Ooze (Reekmurk) ~ Acid				DEFINE:AcidDC|0					BONUS:VAR|AcidDC|DefaultDCCon	BONUS:VAR|AcidDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Acid)								ABILITY:Ability Focus|AUTOMATIC|Acid									SOURCEPAGE:FF	
Poison	CATEGORY:Special Ability	TYPE:OozeReekmurkRaceTrait.SpecialAttack.Extraordinary.Poison	VISIBLE:YES	DESC:Injury, Fort DC %1, initial damage 1d4 DEX, secondary damage 1d4 DEX. The save DC is Constitution-based.|PoisonDC	KEY:Ooze (Reekmurk) ~ Poison				DEFINE:PoisonDC|0					BONUS:VAR|PoisonDC|DefaultDCCon	BONUS:VAR|PoisonDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Poison)								ABILITY:Ability Focus|AUTOMATIC|Poison									SOURCEPAGE:FF	
Stench	CATEGORY:Special Ability	TYPE:OozeReekmurkRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:The reekmurk gets its name from the unbearable stench that surrounds it. This stink affects any creature within 30 feet of the ooze that can smell. Affected creatures must make a Fortitude save (DC %1) upon first being exposed to a reekmurk's stink or become nauseated for 1d4 rounds.|StenchDC	KEY:Ooze (Reekmurk) ~ Stench				DEFINE:StenchDC|0					BONUS:VAR|StenchDC|DefaultDCCon	BONUS:VAR|StenchDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Stench)								ABILITY:Ability Focus|AUTOMATIC|Stench									SOURCEPAGE:FF	
Tendrils	CATEGORY:Special Ability	TYPE:OozeReekmurkRaceTrait.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:A reekmurk extends thousands of hairlike tendrils out to the limits of its reach at all times. Any creature within reach of a reekmurk must make a Reflex save (DC %1) each round or take 1d4 points of acid damage (and possible poisoning) from the frenzied tendrils.|TendrilsDC	KEY:Ooze (Reekmurk) ~ Tendrils				DEFINE:TendrilsDC|0					BONUS:VAR|TendrilsDC|DefaultDCCon	BONUS:VAR|TendrilsDC|2|PREABILITY:1,CATEGORY=FEAT,Ability Focus (Tendrils)								ABILITY:Ability Focus|AUTOMATIC|Tendrils									SOURCEPAGE:FF	
Amphibious	CATEGORY:Special Ability	TYPE:OozeReekmurkRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:Although Reekmurk are aquatic, they can survive indefinitely on land.	KEY:Ooze (Reekmurk) ~ Amphibious																											SOURCEPAGE:FF	
Sunlight Vulnerability	CATEGORY:Special Ability	TYPE:OozeReekmurkRaceTrait.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A reekmurk takes 3d6 points of damage each round that it is exposed to natural sunlight. Spells that create sunlight (such as sunbeam and sunburst) have the most devastating possible effect on reekmurks, affecting them as if they were vampires.	KEY:Ooze (Reekmurk) ~ Sunlight Vulnerability																											SOURCEPAGE:FF	
																																	
Race Traits ~ Bacchae	CATEGORY:Internal	TYPE:Special	ABILITY:Special Ability|AUTOMATIC|TYPE=BacchaeRaceTrait|Immunity to Polymorph	AUTO:LANG|Common|Sylvan																													
Debauch	CATEGORY:Special Ability	TYPE:BacchaeRaceTrait.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Bacchae try to draw strangers into their perpetual revel, eventually converting them into bacchae themselves. Anyone who joins a band of bacchae in their debauchery, whether voluntarily or through the beguilement of the bacchae's spell-like abilities, must make a Will save (DC 10 + 1 per 3 bacchae engaged in the revel, to a maximum DC of 20 for a band of 30 bacchae) or lose all track of time and start carousing alongside the bacchae. A victim ensnared by the bacchae's debauchery will not willingly leave the mob. At the next sunrise, the victim must make a second Will save. If successful, the debauched character recovers his or her senses and may leave if he so chooses, although the bacchae are likely to begin the whole process all over again. If the debauched character fails the save, the character becomes a bacchae. A transformed character abandons her previous lifestyle, gains all the statistics and abilities of a bacchae, and fights against former allies as part of her bacchae mob. The character can be restored by heal, limited wish, miracle, or wish.	KEY:Bacchae ~ Debauch																											SOURCEPAGE:FF	
