SOURCELONG:Complete Divine	SOURCESHORT:CD	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-05
																																				
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page				
Weaken Spirits	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 16th level and higher, a spirit shaman can choose to strip spirits of their defenses instead of damaging them with her chastise spirits ability. When a spirit is weakened, it loses its spell resistance and any damage reduction overcome by magic weapons, silver or cold iron weapons, and aligned weapons (but not damage reduction overcome by adamantine weapons or not overcome by anything). In addition, an incorporeal spirit loses its immunity to nonmagical attack, its 50%% chance to ignore damage from corporeal sources, and its ability to move into or through objects. To weaken spirits, a spirit shaman uses her chastise spirits ability but chooses to do less damage in exchange for weakening the spirits for a short time. For each 3d6 of chastise spirit damage the spirit shaman foregoes, the affected spirits are weakened for 1 round. For example, a 16th-level spirit shaman chastising two dread wraiths deals 16d6 points of damage to each dread wraith, but she could choose to deal 7d6 points of damage to each wraith and weaken them for 3 rounds. Spirits that make their Will save against the chastise spirits damage are unaffected by the weakening effect (but still take half the damage).	KEY:Spirit Shaman ~ Weaken Spirits																										SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
Spirit Journey	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A spirit shaman knows how to vanish bodily into the spirit world beginning at 17th level. This ability functions like the spell shadow walk, except that a spirit shaman can only transport herself. She need not use the ability in a shadowy area, and she travels through the Plane of Spirits, not the Plane of Shadows. A spirit shaman can use this ability once per day.	KEY:Spirit Shaman ~ Spirit Journey																										SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
Favored of the Spirits	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 19th level, a spirit shaman learns how to perform a special rite that guards her from death. Performing the rite requires 8 hours, and the spirit shaman must bargain away part of her life force, expending 1,000 experience points. The rite's effect lasts until it is dismissed or discharged. While under the protection of this rite, a spirit shaman instantly receives the benefi t of a heal spell (caster level equal to her spirit shaman level) if she is reduced to 0 hit points or lower or has any ability score reduced to 0. The spirit shaman receives the spell's effect immediately, even if reduced to -10 hit points or lower by an enemy attack, and thus may survive a blow that otherwise would have killed her. The rite's protection is discharged once it is triggered, and the spirit shaman must perform a new rite to use this ability again.	KEY:Spirit Shaman ~ Favored of the Spirits																										SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
Spirit Who Walks	CATEGORY:Special Ability	TYPE:ClassFeatures.SpiritShamanClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 20th level, a spirit shaman becomes one with the spirit world. She is forevermore treated as a fey instead of a humanoid for purposes of spells and magical effects. Additionally, she gains damage reduction 5/cold iron.	KEY:Spirit Shaman ~ Spirit Who Walks																		TEMPLATE:Spirit Shaman ~ Spirit Who Walks								SORTKEY:Class_Spirit_Shaman	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackFlameZealotClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Black fl ame zealots gain no proficiency in any weapon or armor.	KEY:Black Flame Zealot ~ Weapon and Armor Proficiency																										SORTKEY:Class_Black_Flame_Zealot	SOURCEPAGE:CD				
Spells per Day	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackFlameZealotClassFeatures.SpecialAttack	VISIBLE:YES	DESC:At each even-numbered black fl ame zealot level, the character gains new spells per day (and spells known, if applicable) as if he had also gained a level in a divine spellcasting class to which he belonged before adding the prestige class level. He does not, however, gain any other benefi t a character of that class would have gained (improved chance of turning or destroying undead, metamagic or item creation feats, and so on). If the character had more than one divine spellcasting class before becoming a black flame zealot, the player must decide to which class to add each black fl ame zealot level for the purpose of determining spells per day and spells known.	KEY:Black Flame Zealot ~ Spells per Day																										SORTKEY:Class_Black_Flame_Zealot	SOURCEPAGE:CD				
Death Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackFlameZealotClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:As the assassin ability described on page 180 of the Dungeon Master's Guide, except that black flame zealots do not have the option of paralyzing their targets. If a black flame zealot has this class feature from another class (such as assassin), he may add black flame zealot class levels together with the class levels of such other classes to calculate the save DC of his death attack.	KEY:Black Flame Zealot ~ Death Attack									BONUS:VAR|DeatAttackLVL|BlackFlameZealotLVL									ABILITY:Special Ability|AUTOMATIC|Death Attack	ABILITY:Ability Focus|AUTOMATIC|Death Attack							SORTKEY:Class_Black_Flame_Zealot	SOURCEPAGE:CD				
Zealous Heart	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackFlameZealotClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:A black flame zealot is immune to fear, magical or otherwise. Unlike a paladin's aura of courage, this confers no special benefits on his companions.	KEY:Black Flame Zealot ~ Zealous Heart																		ABILITY:Special Ability|AUTOMATIC|Immunity to Fear								SORTKEY:Class_Black_Flame_Zealot	SOURCEPAGE:CD				
Poison Use	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackFlameZealotClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, a black fl ame zealot gains the ability to use poison safely, as the assassin ability.	KEY:Black Flame Zealot ~ Poison Use																		ABILITY:Special Ability|AUTOMATIC|Poison Use								SORTKEY:Class_Black_Flame_Zealot	SOURCEPAGE:CD				
Sneak Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackFlameZealotClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:When he reaches 3rd, 6th, and 9th level, a black flame zealot deals additional sneak attack damage, as the rogue ability. Since the black flame zealot gets a sneak attack bonus from another source (such as rogue levels), the bonuses to damage stack.	KEY:Black Flame Zealot ~ Sneak Attack									BONUS:VAR|SneakAttackDice|BlackFlameZealotLVL/3									ABILITY:Special Ability|AUTOMATIC|Sneak Attack								SORTKEY:Class_Black_Flame_Zealot	SOURCEPAGE:CD				
Fateful Stride	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackFlameZealotClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:Once per day at 5th level and higher, a black flame zealot can take a single step and pass through obstacles or distance as the spell dimension door. The zealot's caster level is equal to half his character level.	KEY:Black Flame Zealot ~ Fateful Stride																		SPELLS:Innate|TIMES=1|CASTERLEVEL=BlackFlameZealotLVL/2|Dimension Door								SORTKEY:Class_Black_Flame_Zealot	SOURCEPAGE:CD				
Sacred Flame	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackFlameZealotClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Beginning at 6th level, at will, a black flame zealot can command a single melee weapon in his possession to burn with a black, deadly fi re. The weapon gains the flaming ability, dealing 1d6 points of fi re damage per successful attack in addition to its normal weapon damage. Once per day, as a free action the black flame zealot can instead bestow the flaming burst property on a weapon in his possession for 1 minute.	KEY:Black Flame Zealot ~ Sacred Flame																										SORTKEY:Class_Black_Flame_Zealot	SOURCEPAGE:CD				
Unholy Immolation	CATEGORY:Special Ability	TYPE:ClassFeatures.BlackFlameZealotClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:When a black fl ame zealot reaches 10th level, any creature killed by his death attack or sneak attack is immediately and utterly consumed by unholy fi re. The only way to restore life to a being slain in this manner is to use true resurrection, or a carefully worded wish spell followed by resurrection, or miracle.	KEY:Black Flame Zealot ~ Unholy Immolation																										SORTKEY:Class_Black_Flame_Zealot	SOURCEPAGE:CD				
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.BlighterClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Blighters gain no weapon or armor proficiencies.	KEY:Blighter ~ Weapon and Armor Proficiency																										SORTKEY:Class_Blighter	SOURCEPAGE:CD				
Spells	CATEGORY:Special Ability	TYPE:ClassFeatures.BlighterClassFeatures.SpecialAttack	VISIBLE:YES	DESC:Since blighters are ex-druids, they lose their druid spellcasting abilities. However, they gain access to new, more destructive spells. At each blighter level, the character gains spells per day according to Table 2-3. She must choose her spells from the blighter spell list, below. The blighter's caster level is equal to her blighter level plus her druid level. To cast a blighter spell, a blighter must have a Wisdom score of at least 10 + the spell's level, so a blighter with a Wisdom of 10 or lower cannot cast these spells. Blighter bonus spells are based on Wisdom, and saving throws against these spells have a DC of 10 + spell level + the blighter's Wisdom modifi er. When the blighter gets 0 spells per day of a given level (for instance 2nd-level spells for a 2nd level blighter), she gains only the bonus spells she would be entitled to based on her Wisdom score for that spell level. The blighter's spell list appears below. A blighter has access to any spell on the list and can freely choose which toprepare, just as a druid. A blighter prepares and casts spells just as a druid does (though a blighter cannot spontaneously cast summon spells). The blighter gains access to her daily spells through deforestation (see below). If she goes more than 24 hours without deforesting a wooded area, she cannot cast spells until she does so. The default divine focus for any spell cast by a blighter is a desiccated sprig of holly or mistletoe. Any material component for a blighter's spell must have been dead for at least a day before use.	KEY:Blighter ~ Spells				DEFINE:Caster_Level_Blighter|0	DEFINE:Caster_Level_BL_Blighter|0				BONUS:CASTERLEVEL|Blighter|Caster_Level_Blighter	BONUS:VAR|Caster_Level_Blighter|BlighterLVL+DruidLVL+Caster_Level_Bonus	BONUS:VAR|Caster_Level_BL_Blighter|charbonusto("PCLEVEL","Blighter")	BONUS:VAR|Caster_Level_Highest__Blighter|Caster_Level_Blighter+Caster_Level_BL_Blighter|TYPE=Base														SORTKEY:Class_Blighter	SOURCEPAGE:CD				
Deforestation	CATEGORY:Special Ability	TYPE:ClassFeatures.BlighterClassFeatures.SpecialAttack.SpellLike	VISIBLE:YES	DESC:A blighter can kill all nonsentient plant life within a radius of 20 feet per blighter level as a full-round action once per day. If a potentially affected plant is under the control of another (such as a druid's liveoak or a dryad's home tree), the controller can make a Fortitude save (DC 10 + blighter level + blighter's Wis modifi er) to keep it alive. Affected plants immediately cease photosynthesis, root tapping, and all other methods of sustenance. Like picked fl owers, they appear vibrant for several hours, but within a day, they turn brown and wither. Except for plants selected by a controller, nothing can grow in a deforested area until it has a hallow spell cast upon it and it is reseeded. Deforestation enables a blighter to cast her daily allotment of spells. This ability works in any terrain, but deforesting a sandy desert, ice fl oe, or other environment with only sparse vegetation does not empower the character to cast spells.	KEY:Blighter ~ Deforestation	DESC:%1-foot radius.|DeforestationRadius			DEFINE:DeforestationRadius|0					BONUS:VAR|DeforestationRadius|BlighterLVL*20																	SORTKEY:Class_Blighter	SOURCEPAGE:CD				
Blightfire	CATEGORY:Special Ability	TYPE:ClassFeatures.BlighterClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:Starting at 2nd level, as a standard  action, a blighter can unleash a scorching blast of fire. This effect deals 5d6 points of fire damage to all creatures within 10 feet (Reflex half; save DC is 10 + blighter's class level + blighter's Wis modifier) and ignites flammable objects it touches. Blighters delight in starting wildfi res and often use this ability to do so.	KEY:Blighter ~ Blightfire																										SORTKEY:Class_Blighter	SOURCEPAGE:CD				
