SOURCELONG:Player's Guide to Faerun	SOURCESHORT:PGtF	SOURCEWEB:http://www.gozzilioni.net	SOURCEDATE:2004-03
																																		
###Block:Abilities	CATEGORY:	TYPE:	VISIBLE:	Special ABility					Define					Bonus					Stackable?	Multiple?	Choose	select										Source Page		
Cover Identity	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSpyClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:A Zhentarim spy is rigorously trained to establish nearly fl awless cover identities. For every distinct Craft or Profession skill in which she has at least 2 ranks, she may have one cover identity. Each cover identity must be a specifi c person (such as "Jolan Turnbuckle, bread-baker for the town of Shadowdale"), not a generic description (such as "baker"). She may at any time end an existing cover identity and establish a new one in its place. While operating under any of her cover identities, she gains a +4 circumstance bonus on Disguise checks and a +2 bonus on Bluff and Gather Information checks. For each additional 2 ranks (beyond the minimum 2) that the Zhentarim spy possesses in a cover identity's associated Craft or Profession skill, each of these bonuses increases by 1. At the DM's discretion, these bonuses may be reduced or eliminated in regions where the cover identity would seem out of place (bakers from Shadowdale, for example, would attract suspicion in the ruins of Myth Drannor). Establishing a new cover identity or replacing an old one means the Zhentarim spy must acquire documentation and personal effects, establish a place of business, and otherwise set up a believable second life. This process takes 1d4 tendays, during which she may do nothing else, and costs 6d10 gp. The Zhentarim spy does not need to set up a cover identity immediately for every Craft or Profession skill in which she has 2 ranks; she may wait until a good opportunity presents itself if desired. For example, she might wish to hold a cover identity option in reserve to take advantage of the unlikely cover class ability (see below). The cover identity ability does not provide any additional skills that might be necessary to make a cover identity believable, such as knowledge of the proper homeland, the ability to speak a foreign language, spellcasting ability, or the like. Thus, Zhentarim spies generally pick cover identities that complement their existingskills.	KEY:Zhentarim Spy ~ Cover Identity																										SORTKEY:Class_Zhentarim_Spy	SOURCEPAGE:PgtF		
Sneak Attack	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSpyClassFeatures.SpecialAttack.Extraordinary	VISIBLE:YES	DESC:This ability functions like the rogue ability of the same name. The extra damage dealt increases by 1d6 points at 2nd level, and by another 1d6 points at 4th level. If a Zhentarim spy gets a sneak attack bonus from another source (such as rogue levels), the bonuses on damage stack. Furthermore, Zhentarim spy levels stack with any other appropriate class levels (such as rogue or assassin) for the purpose of overcoming improved uncanny dodge.	KEY:Zhentarim Spy ~ Sneak Attack									BONUS:VAR|SneakAttackDice|ZhentarimSpyLVL/2	BONUS:VAR|UncannyDodgeFlankingLevel|ZhentarimSpyLVL								ABILITY:Special Ability|AUTOMATIC|Sneak Attack								SORTKEY:Class_Zhentarim_Spy	SOURCEPAGE:PgtF		
Undetectable Align	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSpyClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 2nd level, the Zhentarim spy's rigorous mental training enables her to cloud even divination spells. This ability functions like the undetectable alignment spell, except that it i s always active and, as an extraordinary ability, is subject to neither dispelling nor suppression by dead magic zones and the like.	KEY:Zhentarim Spy ~ Undetectable Align																										SORTKEY:Class_Zhentarim_Spy	SOURCEPAGE:PgtF		
Poison Use	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSpyClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 3rd level, a Zhentarim spy receives training in the use of poison and never risks accidentally poisoning herself when applying poison to a blade.	KEY:Zhentarim Spy ~ Poison Use																										SORTKEY:Class_Zhentarim_Spy	SOURCEPAGE:PgtF		
Unlikely Cover	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSpyClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 3rd level, the Zhentarim spy may designate a number of cover identities equal to her Charisma bonus (minimum one) as "unlikely covers." In such a cover identity, she is disguised as someone drastically different from herself-a member of the opposite sex or a different race, or someone with a very different body shape. She may need to spend the time to establish new cover identities if she does not have any appropriate identities available. While she operates in an unlikely cover, her normal bonuses on Disguise, Bluff, and Gather Information checks for a cover identity are doubled (to +8 on Disguise checks, +4 on Bluff and Gather Information checks, and +2 per 2 extra ranks on checks made with the cover identity's Craft or Profession skill). Furthermore, the DC for Spot checks made to penetrate her disguise increases by 4.	KEY:Zhentarim Spy ~ Unlikely Cover																										SORTKEY:Class_Zhentarim_Spy	SOURCEPAGE:PgtF		
Slippery Mind	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSpyClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 4th level, the Zhentarim spy gains the slippery mind special ability (see the rogue class description on page 50 of the Player's Handbook) if she did not already have it.	KEY:Zhentarim Spy ~ Slippery Mind																		ABILITY:Special Ability|AUTOMATIC|Slippery Mind								SORTKEY:Class_Zhentarim_Spy	SOURCEPAGE:PgtF		
Deep Cover	CATEGORY:Special Ability	TYPE:ClassFeatures.ZhentarimSpyClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 5th level, the Zhentarim spy may choose a number of new cover identities equal to her Intelligence bonus (minimum one). These may be the same cover identities selected for the unlikely cover ability, or they may be different ones, or they may be a mixture of both. Unlike h er unlikely cover i dentities, however, the identities she selects for deep cover need not be new. When the Zhentarim spy is operating within one of her deep cover identities, her mind is so thoroughly trained and conditioned to think like the person she pretends to be that any magical scrying or mind reading at a power level short of deific reveals nothing about her true nature. Only the thoughts, alignment, and emotions of the fi ctitious persona can be detected.	KEY:Zhentarim Spy ~ Deep Cover																										SORTKEY:Class_Zhentarim_Spy	SOURCEPAGE:PgtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.NethereseArcanistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Netherese arcanists gain no proficiency with any weapon, armor, or shield.	KEY:Netherese Arcanist ~ Weapon and Armor Proficiency																										SORTKEY:Class_Netherese_Arcanist	SOURCEPAGE:PgtF		
Epic Spellcasting	CATEGORY:Special Ability	TYPE:ClassFeatures.NethereseArcanistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 1st level, the Netherese arcanist gains Epic Spellcasting as a bonus feat if he does not already have it.	KEY:Netherese Arcanist ~ Epic Spellcasting																		ABILITY:FEAT|AUTOMATIC|Epic Spellcasting								SORTKEY:Class_Netherese_Arcanist	SOURCEPAGE:PgtF		
Field Specialization	CATEGORY:Special Ability	TYPE:ClassFeatures.NethereseArcanistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Every Netherese arcanist chooses one of three "fields" of magic-invention, mentalism, or variation- for his major field of specialization. He also chooses one of the remaining two fi elds as his minor field. He cannot cast spells based on seeds from the third field.	KEY:Netherese Arcanist ~ Field Specialization									BONUS:ABILITYPOOL|Field Specialization ~ Major|1	BONUS:ABILITYPOOL|Field Specialization ~ Minor|1																SORTKEY:Class_Netherese_Arcanist	SOURCEPAGE:PgtF		
Invention	CATEGORY:Special Ability	TYPE:NethereseArcanistClassFeatures.FieldSpecializationMajor	VISIBLE:YES	DESC:afflict, armor, conjure, destroy, energy, slay, summon.	KEY:Netherese Arcanist ~ Field Specialization ~ Major ~ Invention				DEFINE:FieldSpecializationInvention|0					BONUS:VAR|FieldSpecializationInvention|1																	SORTKEY:Class_Netherese_Arcanist	SOURCEPAGE:PgtF		
Mentalism	CATEGORY:Special Ability	TYPE:NethereseArcanistClassFeatures.FieldSpecializationMajor	VISIBLE:YES	DESC:banish, compel, conceal, contact, delude, foresee, reveal.	KEY:Netherese Arcanist ~ Field Specialization ~ Major ~ Mentalism				DEFINE:FieldSpecializationMentalism|0					BONUS:VAR|FieldSpecializationMentalism|1																	SORTKEY:Class_Netherese_Arcanist	SOURCEPAGE:PgtF		
Variation	CATEGORY:Special Ability	TYPE:NethereseArcanistClassFeatures.FieldSpecializationMajor	VISIBLE:YES	DESC:animate, animate dead, dispel, fortify, refl ect, transform, transport, ward.	KEY:Netherese Arcanist ~ Field Specialization ~ Major ~ Variation				DEFINE:FieldSpecializationVariation|0					BONUS:VAR|FieldSpecializationVariation|1																	SORTKEY:Class_Netherese_Arcanist	SOURCEPAGE:PgtF		
Invention	CATEGORY:Special Ability	TYPE:NethereseArcanistClassFeatures.FieldSpecializationMinor	VISIBLE:YES	DESC:afflict, armor, conjure, destroy, energy, slay, summon.	KEY:Netherese Arcanist ~ Field Specialization ~ Minor ~ Invention	PREVARLT:FieldSpecializationInvention,1																									SORTKEY:Class_Netherese_Arcanist	SOURCEPAGE:PgtF		
Mentalism	CATEGORY:Special Ability	TYPE:NethereseArcanistClassFeatures.FieldSpecializationMinor	VISIBLE:YES	DESC:banish, compel, conceal, contact, delude, foresee, reveal.	KEY:Netherese Arcanist ~ Field Specialization ~ Minor ~ Mentalism	PREVARLT:FieldSpecializationMentalism,1																									SORTKEY:Class_Netherese_Arcanist	SOURCEPAGE:PgtF		
Variation	CATEGORY:Special Ability	TYPE:NethereseArcanistClassFeatures.FieldSpecializationMinor	VISIBLE:YES	DESC:animate, animate dead, dispel, fortify, refl ect, transform, transport, ward.	KEY:Netherese Arcanist ~ Field Specialization ~ Minor ~ Variation	PREVARLT:FieldSpecializationVariation,1																									SORTKEY:Class_Netherese_Arcanist	SOURCEPAGE:PgtF		
Spell Focus (Epic)	CATEGORY:Special Ability	TYPE:ClassFeatures.NethereseArcanistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 2nd level, the saving throw DC for each of a Netherese arcanist's epic spells increases by 1, but the Spellcraft DC does not increase.	KEY:Netherese Arcanist ~ Spell Focus (Epic)									BONUS:DC|ALLSPELLS|1|TPE=NethereseSpellFocus																	SORTKEY:Class_Netherese_Arcanist	SOURCEPAGE:PgtF		
Backlash Resistance	CATEGORY:Special Ability	TYPE:ClassFeatures.NethereseArcanistClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 3rd level, a Netherese arcanist gains resistance 5 to backlash damage from casting epic spells. Each time he casts an epic spell with a backlash, that damage is reduced by 5 points. If the backlash damage continues for more than 1 round, the reduction is 5 points each round.	KEY:Netherese Arcanist ~ Backlash Resistance																										SORTKEY:Class_Netherese_Arcanist	SOURCEPAGE:PgtF		
Epic Spell Artisan	CATEGORY:Special Ability	TYPE:ClassFeatures.NethereseArcanistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 4th level, a Netherese arcanist gains the ability to develop epic spells with less expense in time and resources. When determining the cost of raw materials for researching an epic spell, he multiplies the Spellcraft DC by 7,000 gp instead of the usual 9,000 gp and reduces the development time and XP cost accordingly.	KEY:Netherese Arcanist ~ Epic Spell Artisan																										SORTKEY:Class_Netherese_Arcanist	SOURCEPAGE:PgtF		
Greater Spell Focus (Epic)	CATEGORY:Special Ability	TYPE:ClassFeatures.NethereseArcanistClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 5th level, the saving throw DC for each of a Netherese arcanist's epic spells increases by 1, but the Spellcraft DC does not increase. This increase stacks with that provided by his Spell Focus (epic) ability, for a net increase of +2.	KEY:Netherese Arcanist ~ Greater Spell Focus (Epic)									BONUS:DC|ALLSPELLS|2|TPE=NethereseSpellFocus																	SORTKEY:Class_Netherese_Arcanist	SOURCEPAGE:PgtF		
Weapon and Armor Proficiency	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireHierophantClassFeatures.SpecialQuality	VISIBLE:YES	DESC:Spellfire hierophants gain no proficiency with any weapon, armor, or shield.	KEY:Spellfire Hierophant ~ Weapon and Armor Proficiency																										SORTKEY:Class_Spellfire_Hierophant	SOURCEPAGE:PgtF		
Greater Charged Item Drain	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireHierophantClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:A spellfire hierophant can drain a number of charges from a touched charged item (including single-use items such as potions or scrolls) and convert that energy into stored spellfire energy levels. She can drain a number of charges equal to her Charisma bonus (minimum 1), but she can't drain more charges than the item has remaining. (Each spell on a scroll counts as 1 charge.) A fully drained item has no magical properties- a potion becomes water, and a scroll becomes blank paper. A creature holding or carrying such an item may attempt a Will save (DC 20 + 1/2 spellfi re hierophant level + spellfire hierophant's Cha modifier) to prevent the item from being drained.	KEY:Spellfire Hierophant ~ Greater Charged Item Drain																										SORTKEY:Class_Spellfire_Hierophant	SOURCEPAGE:PgtF		
Ranged Healing	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireHierophantClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:At 2nd level, the spellfire hierophant can release stored spellfire energy levels to heal at a range of up to 25 feet + 5 feet per two caster levels. Using this ability requires a successful ranged touch attack. The amount of healing is normal for the character (either 2 points per spellfire energy level expended, or 1d4+1 points per spellfire energy level expended if the character has the improved healing class feature of the spellfire channeler).	KEY:Spellfire Hierophant ~ Ranged Healing																										SORTKEY:Class_Spellfire_Hierophant	SOURCEPAGE:PgtF		
Haste	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireHierophantClassFeatures.SpecialQuality.Supernatural	VISIBLE:YES	DESC:Once per day, a spellfi re hierophant of 3rd level or higher can expend spellfire energy levels to accelerate her actions, just as if she had cast haste on herself. She must decide how many levels to spend upon activation of the ability. Each spellfire energy level she spends allows her to function as though affected by a haste spell for 1 round, and she sparkles with light while this ability is in effect. The spellfire hierophant can use this ability twice per day at 6th level and three times per day at 9th level	KEY:Spellfire Hierophant ~ Haste	DESC:%1/day.|HasteTime			DEFINE:HasteTime|0					BONUS:VAR|HasteTime|SpellfireHierophantLVL/3																	SORTKEY:Class_Spellfire_Hierophant	SOURCEPAGE:PgtF		
Bonus Feat	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireHierophantClassFeatures.SpecialQuality	VISIBLE:YES	DESC:At 4th level and again at 8th level, the spellfire hierophant gains a bonus feat selected from the following list: Energy Resistance, Epic Skill Focus (Concentration), Epic Spellfire Wielder**, Epic Toughness, Epic Weapon Focus (spellfire), Exceptional Deflection*, Fast Healing, Infinite Deflection*, Reflect Arrows*. She must meet all of a feat's prerequisites in order to select it, except as noted below. *The spellfi re hierophant can ignore the prerequisite of Improved Unarmed Strike for these feats.	KEY:Spellfire Hierophant ~ Bonus Feat				DEFINE:SpellfireHierophantBonusFeats|0					BONUS:VAR|SpellfireHierophantBonusFeats|SpellfireHierophantLVL/4	BONUS:ABILITYPOOL|Spellfire Hierophant Feat|SpellfireHierophantBonusFeats																SORTKEY:Class_Spellfire_Hierophant	SOURCEPAGE:PgtF		
Greater Permanent Item Drain	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireHierophantClassFeatures.SpecialQuality.SpellLike	VISIBLE:YES	DESC:At 5th level, a spellfire hierophant can drain power from permanent magic items by touch as a standard action. An item that creates a spell effect (such as boots of speed) loses that function for 24 hours, and the spellfire hierophant gains spellfire energy levels equal to the item's caster level. A creature holding or carrying such an item may attempt a Will save (DC 20 + 1/2 spellfire hierophant level + spellfire hierophant's Cha modifier) to prevent the item from being drained. If all of an item's permanent abilities are drained, it is still a magic item for the purpose of making saving throws when damaged, and so on.	KEY:Spellfire Hierophant ~ Greater Permanent Item Drain																										SORTKEY:Class_Spellfire_Hierophant	SOURCEPAGE:PgtF		
Spellfire Reserve	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireHierophantClassFeatures.SpecialQuality.Extraordinary	VISIBLE:YES	DESC:At 7th level, the spellfi re hierophant learns how to store spellfire energy levels in deep reserve. These energy levels don't count as part of her normal storage capacity, but they also can't be used to power spellfire effects without first calling them out of reserve. Spellfire energy levels in reserve don't detect as magical, so a spellfire hierophant's true nature cannot be determined by detecting them. Placing any number of stored spellfire energy levels in reserve requires a full-round action, as does calling any number out of reserve into normal storage capacity. The spellfire hierophant can hold a number of spellfire energy levels to her spellfi re hierophant level plus her Constitution bonus (if any) in reserve.	KEY:Spellfire Hierophant ~ Spellfire Reserve	DESC:Deep Reserve: %1|SpellfireDeepReserve			DEFINE:SpellfireDeepReserve|0					BONUS:VAR|SpellfireDeepReserve|SpellfireHierophantLVL+max(0,CON)																	SORTKEY:Class_Spellfire_Hierophant	SOURCEPAGE:PgtF		
Spellfire Burst	CATEGORY:Special Ability	TYPE:ClassFeatures.SpellfireHierophantClassFeatures.SpecialAttack.Supernatural	VISIBLE:YES	DESC:At 10th level, the spellfire hierophant can substitute a spellfire burst for a normal spellfire blast. The range remains the same, but instead of requiring a touch attack, the spellfire energy explodes in a 5-foot-radius burst at the target point, dealing appropriate damage to all creatures in the area. Each affected creature may attempt a Reflex save (DC 20 + 1/2 spellfire hierophant level + spellfi re hierophant's Cha modifier) to halve the damage. The character can substitute bursts for as many blasts as she would normally fire in a round, but she can use the ability for only 1 round per day. For every 5 levels gained thereafter, the spellfire hierophant can use this ability for 1 additional round per day (2 rounds at 15th, 3 rounds at 20th, and so on). If the character also has the maelstrom of fire class feature of the spellfire channeler, the area of the burst is a 10-foot radius.	KEY:Spellfire Hierophant ~ Spellfire Burst																										SORTKEY:Class_Spellfire_Hierophant	SOURCEPAGE:PgtF		
